text,l1,l2,l3
"Kihelkonna St. Michael's Church, (Estonian: Kihelkonna Mihkli kirik) sometimes simply Kihelkonna Church, is a medieval Lutheran church on Saaremaa island in western Estonia.",Place,Building,HistoricBuilding
"Agelena littoricola is a species of spider in the family Agelenidae, which contains 1146 species of funnel-web spiders. It was first described by Fage in 1938.  It is commonly found in Central Africa.",Species,Animal,Arachnid
"Midmar Dam is a combined gravity & earth-fill type dam and recreation area located near Howick and Pietermaritzburg, South Africa. Boating, swimming, waterskiing, picnicing, and fishing are popular pastimes at Midmar Dam. Each year, the Midmar Mile swimming race is held there, which organizers call \""the world's largest open water swimming event\"". Over 20,000 entries were received for the 2009 event. Midmar Dam is located in the Midlands of KwaZulu-Natal. The dam's primary purpose is to serve for municipal and industrial use and its hazard potential has been ranked high (3). Morgenzon has camping and caravanning sites, both powered and non-powered, and Eikedal and Blackhurst Peninsula (start of the Midmar Mile) are both stunning picnic areas. The dam also hosts a yacht club, and lock up storage facilities for boats. No matter what time of year one visits the dam, it is essential to have clothing/gear for both hot and cold weather - the weather changes are rapid, and do not always correspond with the weather in the surrounding area. Midmar Dam is easily accessible from the N3 motorway.",Place,Infrastructure,Dam
"The Cordillera de Guanacaste, also called Guanacaste Cordillera, are a volcanic mountain range in northern Costa Rica near the border with Nicaragua. The mountain range stretches 110 km from northwest to the southeast and contains mostly complex stratovolcanoes. The range forms part of the southern region of the Continental Divide, with the highest peak is the stratovolcano Miravalles at 2,028 m. Rivers flowing from the range drain into the Caribbean Sea (Guacalito, Zapote) and the Pacific Ocean (Blanco, Tenorio, Martirio, CorobiÃ¡ and San Lorenzo). Protected areas located in the mountain range include Guanacaste National Park established in July 1991 and Area de ConservaciÃ?n Guanacaste World Heritage Site inscripted by UNESCO as a World Heritage Site in December 1999. The range contains areas of ecological significance, as the Miravalles Forest Reserve, hills and canyons that can be seen from the lowlands of Guanacaste, areas rich with epiphytes, ferns and palms; and areas of geothermal activity, exploited for energy use. Geothermal energy exploited in Guanacaste account to 18% of Costa Rica's electricity and is also exported to Nicaragua and Panama. Cordillera de Guanacaste is divided into two sections: 1.  \n*  La Cordillera VolcÃ¡nica - formed by a series of volcanic edifices that begin with the Orosi Volcano and ends with the Arenal Volcano. 2.  \n*  La Sierra Minera - depressions located between Arenal and Tapezco.",Place,NaturalPlace,MountainRange
"Ushijima the Loan Shark (é—‡é‡‘ã‚?ã‚·ã‚¸ãƒ?ãÅèã‚“ Yamikin Ushijima-kun) is a Japanese manga series by Shohei Manabe. It won the 56th Shogakukan Manga Award for general manga. It was adapted into a live action television drama series in 2010 and into a live action film in 2012. A second live action film, Ushijima the Loan Shark 2, was released on May 16, 2014.",Work,Comic,Manga
"Palaemonetes is a genus of caridean shrimp comprising a geographically diverse group of fresh water, brackish and marine crustaceans. Conventionally, Palaemonetes includes the following species: \n* Palaemonetes africanus Balss, 1916 \n* Palaemonetes antennarius (H. Milne-Edwards, 1837) \n* Palaemonetes antrorum Benedict, 1896 \n* Palaemonetes argentinus Nobili, 1901 \n* Palaemonetes atrinubes Bray, 1976 \n* Palaemonetes australis Dakin, 1915 \n* Palaemonetes camranhi NguyÃªn, 1997 \n* Palaemonetes carteri Gordon, 1935 \n* Palaemonetes cummingi Chace, 1954 \n* Palaemonetes hiltoni Schmitt, 1921 \n* Palaemonetes hobbsi Strenth, 1994 \n* Palaemonetes intermedius Holthuis, 1949 \n* Palaemonetes ivonicus Holthuis, 1950 \n* Palaemonetes kadiakensis Rathbun, 1902 \n* Palaemonetes karukera Carvacho, 1979 \n* Palaemonetes lindsayi Villalobos Figueroa & H. H. Hobbs Jr., 1974 \n* Palaemonetes mercedae S. Pereira, 1986 \n* Palaemonetes mesogenitor Sollaud, 1912 \n* Palaemonetes mesopotamicus Pesta, 1913 \n* Palaemonetes mexicanus Strenth, 1976 \n* Palaemonetes octaviae Chace, 1972 \n* Palaemonetes paludosus (Gibbes, 1850) \n* Palaemonetes pugio Holthuis, 1949 \n* Palaemonetes schmitti Holthuis, 1950 \n* Palaemonetes sinensis (Sollaud, 1911) \n* Palaemonetes suttkusi Smalley, 1964 \n* Palaemonetes texanus Strenth, 1976 \n* Palaemonetes tonkinensis \n* Palaemonetes turcorum Holthuis, 1961 \n* Palaemonetes vulgaris (Say, 1818) \n* Palaemonetes zariquieyi Sollaud, 1938 Molecular data suggest however that Palaemonetes is not phylogenetically distinct from the genus Palaemon. Phylogenetically species of Palaemonetes, as well as those in the genera Exopalaemon and Couteriella, are nested within Palaemon. Phylogenetic affinities in these groups correspond better with geographical origin than conventional genus assignments.",Species,Animal,Crustacean
"Jaco Phillipus van Zyl (born 23 February 1979) is a professional golfer from South Africa. Van Zyl was born in Pretoria. He won the South African Amateur Championship in 2000 and turned professional the following year, immediately joining the Sunshine Tour. He won for the first time on the tour at the Platinum Classic in 2005. In 2007, van Zyl played on the elite U.S.-based PGA Tour, having gained his card at the 2006 qualifying school. He made the 36-hole cut only four times in 21 tournaments during his rookie season, and finished 227th on the money list. In 2009, van Zyl recorded the biggest win of his career at the Telkom PGA Championship, and went on to win twice more during the season and finish in 4th place on the Order of Merit. Having won four more tournaments on the Sunshine Tour in 2010, Van Zyl ended the year by finishing in 5th place at the final stage of the European Tour's qualifying school to earn his place on European Tour for the 2011 season. He had a good first season with five top-10 placings and finished 50th on the Race to Dubai. In February 2016, van Zyl reached the top 50 in the Official World Golf Ranking for the first time.",Agent,Athlete,GolfPlayer
"Irregular Records is a British independent record label specialising in folk music, which was established in 1985 by the singer Robb Johnson. In addition to Johnson's own recordings the label has also issued albums by artists such as Barb Jungr, Des de Moor, Maggie Holland and Russell Churney.",Agent,Company,RecordLabel
"JosÃ© Luis Viejo GÃ?mez (2 November 1949 â€“ 16 November 2014) was a Spanish road cyclist who was professional from 1973 to 1982. He represented his native country at the 1972 Summer Olympics in Munich, West Germany, where he finished in 37th place in the men's individual road race. Viejo won the 11th stage of the 1976 Tour de France with a time difference of 22 minutes and 50 seconds to the second-placed cyclist; this is the largest lead in the Tour de France after the Second World War. He also won the Tour de Pologne 1972.",Agent,Athlete,Cyclist
Jack Douglas (2 June 1929 â€“ 6 February 2007) was an Australian rules footballer who played with Hawthorn in the Victorian Football League (VFL).,Agent,Athlete,AustralianRulesFootballPlayer
"Daniella Cicarelli Lemos (born November 6, 1978) is a former TV show hostess for MTV Brasil and fashion model. She was engaged to Brazilian footballer Ronaldo for three months in 2005.",Agent,Person,Model
"Abies balsamea or balsam fir is a North American fir, native to most of eastern and central Canada (Newfoundland west to central British Columbia) and the northeastern United States (Minnesota east to Maine, and south in the Appalachian Mountains to West Virginia).",Species,Plant,Conifer
"The 45th Infantry Division was an infantry division of the Territorial Force, part of the British Army. It was formed in the First World War as a duplicate of the 43rd (Wessex) Division and was originally formed as the 2nd Wessex Division in 1914â€“1915 before later being renamed as the 45th (2nd Wessex) Division and the brigades numbered. It was sent overseas to India in December 1914 to relieve Regular Army units for service in France. The division remained there for the rest of the war, supplying drafts of replacements to the British units fighting in the Middle East and later complete battalions. It was reformed as 45th Infantry Division in the Territorial Army in 1939, again as a duplicate of the 43rd (Wessex) Division, when another European conflict with Germany seemed inevitable. During the Second World War, the division was active in the United Kingdom throughout its service. It was placed on a lower establishment on 1 December 1941 and disbanded on 30 August 1944. The division was reformed on 1 September 1944 as 45th (Holding) Division, later 45th Division, for the reception of troops returning from overseas. The division did not see service outside the United Kingdom during the war.",Agent,Organisation,MilitaryUnit
"Blessed Giovanni Battista Mazzucconi (1 March 1826 â€“ 7 September 1855) was an Italian priest from the Pontifical Institute for Foreign Missions. He was killed in hatred of the faith in Papua New Guinea during his work there amongst the people. He was beatified in 1984 after it was determined that he was killed \""in odium fidei\"" (in hatred of the faith). One miracle is required for his canonization.",Agent,Cleric,Saint
"The Cyclocross Leuven is a cyclo-cross race held in Leuven, Belgium. It was first held on 30 December 2011 as a part of the Fidea Classics, replacing the Cyclocross Tervuren. Since the 2012â€“2013 season, it is part of the SOUDAL Classics. The track is located on the military domain next to the Hertogstraat in Heverlee, a deelgemeente of Leuven.",Event,Race,CyclingRace
"EdnÃ¶r â€“ L'Attaque is a steel inverted roller coaster at La Ronde in Montreal, Quebec, Canada. Built by Vekoma, it is a standard Suspended Looping Coaster (SLC).",Place,AmusementParkAttraction,RollerCoaster
"Randi Rahm is an American fashion designer based in New York City and raised in Long Island. She is a classically trained concert pianist and musician. She is well known for her couture gowns, bridal wear and evening wear collections and her wide range of clientele, including celebrities and socialites.",Agent,Artist,FashionDesigner
"Trichomanes speciosum, commonly known as Killarney fern, is a species of fern found widely in Western Europe. It is most abundant in Ireland, the United Kingdom, Brittany, Galicia, Canary Islands, Madeira and the Azores, but is also found in other locations including France, Spain, Portugal and Italy. The sporophyte form is found in only 16 locations in the UK although the gametophyte form is more widespread. Once found on Arran, it was thought to be extinct in Scotland due to the activities of Victorian collectors, but the species has been discovered on Skye in its gametophyte form. In the UK it is classed as vulnerable and it is considered one of Europe's most threatened plants. It is one of only three European species with translucent leaves and requires a humid, frost-free environment. In Britain, it is largely restricted to damp, shady, sheltered locations such as ravines.",Species,Plant,Fern
"The Battle of Braga or Battle of PÃ?voa de Lanhoso or Battle of Carvalho d'Este (20 March 1809) saw an Imperial French corps led by Marshal Nicolas Soult attack a Portuguese army commanded by Baron Christian Adolph Friedrich von Eben. Soult's professional soldiers slaughtered large numbers of their opponents, who were mostly badly disciplined and poorly armed militia. The action occurred during the Peninsular War, part of the Napoleonic Wars. Braga is situated about 45 kilometres (28 mi) north-northeast of Porto (Oporto). The British won a tactical victory over Soult's II Corps in the Battle of Corunna on 16 January 1809. However, the Royal Navy soon evacuated the army from northwest Spain. Freed from British interference, Soult planned to invade northern Portugal. From Ourense in Spain, the French marched south to seize Chaves, Portugal before moving west toward Braga. A short distance east of Braga the French came upon the Portuguese army, but Soult waited a few days for all his troops to arrive. During this time the mutinous Portuguese murdered their commander Bernardim Freire de Andrade, leaving Eben in charge. Once he was ready, Soult crushed his adversaries without much trouble. The next action was the First Battle of Porto.",Event,SocietalEvent,MilitaryConflict
"Hemistomia crosseana is a species of minute freshwater snail with an operculum, aquatic gastropod mollusc or micromollusc in the family Hydrobiidae. This species is endemic to New Caledonia, where it is currently only known from a seepage between Koumac village and Koumac River, in the north of the island.",Species,Animal,Mollusca
"African Story (foaled 10 March 2007) is a British-bred Thoroughbred racehorse. Originally trained in France, he showed promise when racing on turf by winning twice and being placed in several important races before being transferred to race on Tapeta in Dubai in 2012. He won the Godolphin Mile in 2012 and the Burj Nahaar in both 2012 and 2013 before recording his most important success in the 2014 Dubai World Cup.",Species,Horse,RaceHorse
"Gintaras Linas GruÅ¡as (born 23 September 1961) is the current Archbishop of Vilnius, Lithuania. On 5 April 2013, his appointment to the Roman Catholic Archdiocese of Vilnius by Pope Francis was announced. He was installed on 23 April 2013. He succeeded Cardinal Audrys Juozas BaÄçkis who retired, having reached the age limit. His parents were separated by World War II and, after 16 years of being caught behind the Iron Curtain, his mother and 17-year-old sister were among just 200 families allowed to leave the Soviet Union to be reunited with family in the United States. GruÅ¡as was born in Washington, D.C. After primary and secondary education he attended the University of California at Los Angeles (UCLA) where he earned a BS degree in Mathematics/Computer Science. He spent five years working as a technical consultant of marketing for IBM, which, he said, helped prepare him for the management and project-planning skills that are necessary as a pastor. GruÅ¡as is an alumnus of the Pontifical University of Saint Thomas Aquinas, Angelicum in Rome where he earned a Bachelor of Sacred Theology in 1994 and was ordained a priest. After his ordination he worked as secretary-general of the Lithuanian Episcopal Conference until 1997 and from 2001-2003 was rector of the seminary in Vilnius. He earned a Licentiate of Canon Law in 1999 and a Doctorate of Canon Law in 2001 from Pontifical University of Saint Thomas Aquinas, Angelicum. On 9 July 2010, he was appointed Military Ordinary by Pope Benedict XVI and was consecrated bishop on 4 September.",Agent,Cleric,ChristianBishop
"The Party for Freedom (Dutch: Partij voor de Vrijheid, PVV) is a right-wing populist, nationalist political party in the Netherlands. Founded in 2005 as the successor to Geert Wilders' one-man party in the House of Representatives, it won nine seats in the 2006 general election making it the fifth-largest party in parliament. In the 2010 general election it won 24 seats, making it the third-largest party. At that time the PVV agreed to support the minority government led by Prime Minister Mark Rutte without having ministers in the cabinet. However the PVV withdrew its support in April 2012 due to differences over budget cuts at the Catshuis. It came third in the 2014 European Parliament election, winning four out of 26 seats. With program items like administrative detention and strong assimilationist stance on the integration of immigrants into Dutch society, the Party for Freedom breaks from the established centre-right parties in the Netherlands (like the People's Party for Freedom and Democracy, VVD). In addition, the party is consistently Eurosceptic and since early July 2012, according to the program it presented for the elections a few months later in September, it strongly advocates withdrawal from the EU. PVV is the name under which the foundation Stichting Groep Wilders operates. In the beginning it has Geert Wilders as its sole member, making the party unique in the Dutch parliament.",Agent,Organisation,PoliticalParty
"James Kellum Smith Sr. (October 3, 1893 â€“ February 18, 1961) was an American architect, of the well-known Gilded Age architectural firm of McKim, Mead, and White.",Agent,Person,Architect
"Tilicho Lake is a lake located in the Manang district of Nepal. It is situated at an altitude of 4,919 metres (16,138 ft) in the Annapurna range of the Himalayas and is known as the highest lake in the world.Another source lists the altitude of Lake Tilicho as being 4,949 metres (16,237 ft). Mountain lakes are known to geographers as tarns if they are caused by glacial activity. Tarns are found mostly in the upper reaches of the Himalaya, above 5,500 metres (18,000 ft). Tilicho Lake is the destination of one of the most popular side hikes of the Annapurna Circuit trek. The hike takes additional 3â€“4 days. No camping is required, as new lodges have been built between Manang and the lake. Final approach to the lake is done in a day hike from the lodge at Tilicho Base Camp. Trekkers attempting the Annapurna Circuit route usually cross the watershed between Manang and Kali Gandaki valleys over the 5416 meters high Thorong La pass. The alternate route skirting Tilicho Lake from the north has been gaining popularity. This route is more demanding and requires at least one night of camping. There are no teahouses or lodges past the Tilicho Base Camp lodge some kilometers east of the lake and the next village of Thini Gaon in the Kali Gandaki valley. Most groups spend two nights between these places. There are two passes leading to Thini Gaon and Jomsom; Mesokanto La and Tilicho North pass known also as Tilicho \""Tourist pass\"". These routes via Tilicho Lake are more often closed by snow than the higher Thorong La. It was also the site of one of the highest ever altitude scuba dives. A Russian diving team consisting of Andrei Andryushin, Denis Bakin and Maxim Gresko conducted a scuba dive in the lake in 2000. Surrounding mountains: Tilicho, Nilgiri, Khangsar and Muktinath peak",Place,BodyOfWater,Lake
"Noise Khanyile & the Jo'burg City Stars was a Johannesburg, South Africa based ensemble produced by Lloyd Ross and released by Shifty Records. Noise has been critically acclaimed by scholars such as East African Standard musicologist John Storm Roberts. They exhibit a sophisticated multiply layered tapestry of Zulu inspired sound on his 1989 release Art of Noise. For instance, in the web-published track \""Groovin' Jive No. 1\"" combining hand clap, drums, creative percussion with horn, harmonized vocals, special effects and fiddle in a distinctively contemporary sound. Baba Wami (Tribute Song) draws more explicitly upon traditionThe performances have been critically distinguished between traditional (Zulu) music and a style referred to a \""township jive\"" or simply as \""jive\"". His music, although rooted in folk tradition, is nevertheless described by some critics as \""violin\"" rather than \""fiddle\"". This music is often played in shebeens, an alternative to the pubs which had been closed to blacks under apartheid but which some assert are experiencing a renaissance as a form of cultural resurgence.album now available as a download at:",TopicalConcept,Genre,MusicGenre
"Culinary Workers Union or UNITE HERE local 226 is a private sector local union in Nevada, USA, affiliated with UNITE HERE, a national labor union. With 60,000 members, the Culinary Workers Union represents more members than any other union in Nevada, is the largest union local in a right-to-work state and is the largest affiliate of UNITE HERE. Members include a variety of occupations organized along craft lines working in restaurants, hotels and laundries, in the casinos in the Las Vegas metropolitan area and Reno, as well as McCarran International Airport and Valley Hospital Medical Center. While most Culinary members work in casinos, the union does not represent dealers and other employees directly providing gaming services. Local 165 of UNITE HERE represents bartenders in Las Vegas although the two locals negotiate contracts in tandem. In January 2008 the union endorsed presidential candidate Barack Obama.",Agent,Organisation,TradeUnion
"The London and North Eastern Railway (LNER) was the second largest of the \""Big Four\"" railway companies created by the Railways Act 1921 in Britain. It operated from 1 January 1923 until nationalisation on 1 January 1948. At that time, it was divided into the new British Railways' Eastern Region, North Eastern Region, and partially the Scottish Region. Sir Ralph Wedgwood was the Chief Officer for its first 16 years.",Agent,Organisation,PublicTransitSystem
"Rockwood Hoar (October 24, 1855 â€“ November 1, 1906) was a Representative from Massachusetts, the son of Massachusetts US Senator George Frisbie Hoar.",Agent,Politician,Congressman
"Generalmajor Carl-Alfred (August) Schumacher (19 February 1896, Rheine â€“ 22 May 1967, Bad Godesberg) was a German military officer and politician. During World War II, Schumacher served in the German Luftwaffe, commanding the Jagdgeschwader 1 (JG 1) fighter wing. After World War II, Schumacher was an active politician and elected member of the Landtag in Lower Saxony (1951â€“1963).",Agent,Person,MilitaryPerson
"Daniel Joseph \""D. J.\"" Kennington (born July 15, 1977) is a Canadian professional stock car racing driver. He currently competes full-time in the NASCAR Pinty's Series, driving the No. 17 for DJK Racing. He won the 2010 and 2012 Pinty's Series championships. Kennington also competes part-time in Xfinity Series for MBM Motorsports in the No. 13 Dodge Challenger.",Agent,RacingDriver,NascarDriver
"Adelson, Testan, Brundo, Novell & Jimenez  was founded in 1996 by its Senior Managing Partner, Steven C. Testan, whose primary focus is the defense of Workers' Compensation claims and related matters as well as the defense of its clients in personal injury and civil litigation cases.",Agent,Company,LawFirm
"MÃ?nsterbrÃ?cke is a pedestrian and road bridge over the Limmat in the city of ZÃ?rich, Switzerland. It is listed in the Swiss inventory of cultural property of national and regional significance. It is indirectly named after two MÃ?nster (minsters), the FraumÃ?nster and GrossmÃ?nster.",Place,RouteOfTransportation,Bridge
"Ashley Thomas Eastham (born 22 March 1991) is an English professional footballer who plays as a defender for Fleetwood Town FC. He began his career at Blackpool in the Championship and Premier League. He made only three appearances for Blackpool, but enjoyed his first run of senior football after moving on loan to Cheltenham Town midway through the 2009/10 season. Loan spells with Carlisle United and Cheltenham Town again followed in 2010/11, before Eastham spent the whole of the next season helping Bury to a mid-table finish in League One. Brief stints at Fleetwood Town and Notts County gave Eastham more experience at the start of last term, before he returned to Bury for their hapless fight against relegation from League One in 2012/13. In July 2013, Eastham made a permanent transfer to then-League Two side Rochdale, after leaving Blackpool. In May, 2016, Eastham penned a two-year deal with fellow league one side Fleetwood Town.",Agent,Athlete,SoccerPlayer
"Sir John Cooper, 1st Baronet (died 23 March 1630), was an English landowner and politician who sat in the House of Commons from 1628 to 1629. He was father of Anthony Ashley Cooper, 1st Earl of Shaftesbury.",Agent,BritishRoyalty,Baronet
"MalmÃ¶ University (Swedish: MalmÃ¶ hÃ¶gskola) is a Swedish university college (with its own directorial board) that was founded in 1998 and is located in MalmÃ¶, Sweden. With more than 24,000 students and about 1,600 employees (academic and administrative), MalmÃ¶ University is the ninth largest institute of learning in Sweden. It has exchange agreements with more than 240 partner universities around the world and roughly a third of the students have an international background. Education at MalmÃ¶ University focuses on, among other things, migration, international relations, political science, sustainability, urban studies, and new media and technology. It often includes elements of internship and project work in close cooperation with external actors. Located at Universitetsholmen in the centre of the city, the university has played an important role in the transformation of MalmÃ¶ from an industrial town to a centre of learning. A large part of the campus was constructed on grounds which, up to the mid-1980s, belonged to the Kockums shipyard, which had been a key element of naval-industrial MalmÃ¶. In mid-June 2016, the Swedish minister for higher education and research announced that MalmÃ¶ University will be granted full university status on January 1, 2018.",Agent,EducationalInstitution,University
"John Chandler Harper (March 10, 1914 â€“ November 8, 2004) was an American professional golfer, best known for winning the PGA Championship in 1950. He won seven times on the PGA Tour and played in the Ryder Cup in 1955. Harper was born, raised and lived his entire life in Portsmouth, Virginia. He was prominent in Virginia golf, winning the Virginia State Amateur three times (1930, 1932, 1934) and the Virginia State Open nine times (1932, 1938, 1940, 1941, 1952, 1960, 1967, 1968, 1970), a record which stands today. His golfing career was interrupted by service in the U.S. Navy during World War II. Harper's competitive career lasted from 1938 to 1955; and like most professional golfers of his generation, he spent most of his time as a club professional. Harper compensated for his lack of driving distance with a strong short game; Ben Hogan said that Harper was the best putter on Tour. After Curtis Strange's father died when he was 14, Harper became Strange's mentor. He was also a long-time friend of Bobby Jones. He was inducted into the Virginia Sports Hall of Fame in 1973 and to the PGA Hall of Fame in 1968. In 1956, Harper founded Bide-A-Wee Golf Course in his hometown of Portsmouth, and managed the course until he retired in 1992. He died at the age of 90 of complications from pneumonia.",Agent,Athlete,GolfPlayer
"Circus Today is a 1940 nine-minute animated short film released to theaters by Warner Bros. on June 22, 1940. Directed by Tex Avery and written by Jack Miller, the film was a part of the Merrie Melodies series produced by Leon Schlesinger and distributed by The Vitaphone Corporation.",Work,Cartoon,HollywoodCartoon
Horrie Jones (10 June 1888 â€“ 4 October 1967) was a former Australian rules footballer who played with Collingwood in the Victorian Football League (VFL).,Agent,Athlete,AustralianRulesFootballPlayer
"Frederick William Van Dusen (born July 31, 1937) is a former Major League Baseball player. Van Dusen played for Philadelphia Phillies in the 1955 season. He played just one game in his career, had one plate appearance, and was hit by a pitch on an 0-2 count. He is the only major league player in history who was hit by a pitch in his only ML appearance, and who never took to the field defensively. An outfielder by trade, Van Dusen was signed by the Phillies in August 1955 as a bonus baby, meaning he had to be kept on the Phillies' 40-man roster for two years. During his first month with the team, he appeared just once, pinch hitting in the second game of a doubleheader against the Milwaukee Braves on September 11, 1955. In the 9th inning, with the Phillies down 9-1, he pinch hit for pitcher Lynn Lovenguth against Humberto Robinson and was hit by a pitch. While Van Dusen never appeared in another major league game, he did continue to play in the Phillies minor league organization until 1961 before retiring. For a time between 2005 and 2012, Van Dusen was joined by Adam Greenberg as one of only two players who were hit by a pitch in their only ML appearance, and who also never appeared defensively. (Four other players who did take to the field were hit by a pitch in their only Major League plate appearance: Ham Wade in 1907, Charlie Faust in 1911, Harvey Grubb in 1912, and Cy Malis in 1934.) However, on October 2, 2012, Greenberg was recalled by the Miami Marlins for one day, seven years after being hit with a pitched ball in his first major league plate appearance. Greenberg struck out in his only at bat. Van Dusen traveled to Miami to throw out the ceremonial first pitch in Greenberg's return game.",Agent,Athlete,BaseballPlayer
"Douglas G. Greene (born 1944) is an American historian, editor, and author. He is married to Sandi Greene with whom he has a son, Eric and a daughter, Katherine, and has an identical twin, David L. Greene, and a younger brother Paul. Greene is Emeritus Professor of History at Old Dominion University, specialising in Tudor and Stuart Britain. He is co-owner and editor of Mystery publisher Crippen & Landru, and has edited numerous Mystery fiction collections for both his own and other publishing houses. In 2014, the non-fiction anthology Mysteries Unlocked: Essays in Honor of Douglas G. Greene was released to celebrate his 70th birthday, with ten Edgar Award winning or nominated authors among those contributing. Greene's biography John Dickson Carr: The Man Who Explained Miracles was nominated in 1996 for the Edgar Award Best Critical / Biographical Work.",Agent,Writer,Historian
"The Montone is a river in the historical region of Romagna, which is in the present-day region of Emilia-Romagna in northern Italy. It is the northernmost river on the east-facing slopes of the Apennines to flow directly into the Adriatic Sea rather than entering the Po. The source of the river is in the Foreste Casentinesi, Monte Falterona, Campigna National Park in the Appennino Tosco-Emiliano mountains in the province of Florence (which is in the Tuscany region of Italy). The river flows northeast and crosses the border into the province of ForlÃ¬-Cesena and passes through the localities of San Benedetto in Alpe, Portico di Romagna, Bocconi, Rocca San Casciano, Dovadola, Castrocaro, Terra del Sole and ForlÃ¬. Near ForlÃ¬, the river receives the waters of the Rabbi and curves northwest. It then flows northeast again and forms the border between the province of ForlÃ¬-Cesena and the province of Ravenna before flowing into the province of Ravenna. The river curves eastward and is joined by the Bidente-Ronco south of Ravenna. The combined rivers are known as the Uniti. The Battle of Ravenna was fought near the confluence with the Ronco in 1512. Also famous is the Acquacheta stream, mentioned by Dante Alighieri in his Divine Comedy.",Place,Stream,River
"The 1977 Buffalo Bills season was the franchise's 18th season, and their eighth in the National Football League. The team posted a losing record for the second-consecutive season, and missed the postseason for the third season. Buffalo started the season with four consecutive losses, and failed to win consecutive games. The team was shut out two times at home. The Bills beat only one team with a winning record -- the New England Patriots, in an early November game in Foxboro that ultimately proved fatal to the Patriots' playoff hopes. After drawing 76,000 to Rich Stadium on opening day against the Dolphins, Buffalo drew an average of only 35,000 for the remaining 6 home games. The Bills had one of the most pass-heavy offenses in the NFL in 1977. Quarterback Joe Ferguson led the league in pass attempts (457, 32.6 per game) and passing yards (2,803, 200.2 per game). He also threw 24 interceptions, the most in the NFL. Although the Bills passed the ball more often than any other team, they were not efficient through the air: they ranked 19th in passing touchdowns, 21st in yards per attempt, and 20th in quarterback rating (a dismal 54.7). Buffalo's 160 points scored was the third-worst in the NFL. Buffalo's defense also gave up 313 points, the fourth-worst total in the league. Buffalo's anemic scoring and porous defense gave the team a point-differential of âˆ’153, dead-last in the league.",SportsSeason,FootballLeagueSeason,NationalFootballLeagueSeason
"The Bao-Tavera Dam Complex refers to two earth-filled embankment dams located about 15 km (9.3 mi) south of Santiago in Santiago Province of the Dominican Republic. The Bao Dam on the Bao River is 113 m (371 ft) and withholds a reservoir with a maximum storage capacity of 280,000,000 m3 (230,000 acreÂ·ft). It is the second tallest dam in the country behind the MonciÃ?n Dam. The Tavera Dam, about 8 km (5.0 mi) east of Bao Dam, on the river Yaque del Norte is 82 m (269 ft) high and has a reservoir with a capacity of 170,000,000 m3 (140,000 acreÂ·ft). A 1.5 km (0.93 mi) canal connects each reservoir, making them a complex. The purpose of the complex is to provide municipal water, water for irrigation and to generate hydroelectric power. Water from the Tavera Reservoir is piped downstream to the Tavera Hydroelectric Plant which is situated on the right bank of the Bao River before it meets the Yaque del Norte River. The power station contains two 48 MW Francis turbine-generators for an installed capacity of 96 MW. Construction on the Tavera Dam began in September 1969 and it was completed on 27 September 1973. The Bao Dam was completed in 1981. The power station was upgraded from 80 MW to 96 MW in 1992.",Place,Infrastructure,Dam
"The Ippari, anciently called the Hipparis (Ancient Greek:  á?ºÏ€Ï€Î±ÏÅÎ?Ï‚) is a 28-kilometre (17 mi) long river located in the province of Ragusa in south-eastern Sicily. The river rises in the Mount Serra Brugio area of the Hyblaean Mountains, just below Chiaramonte Gulfi at a height of about 800 metres (2,600 ft) above sea level and flows into the Mediterranean Sea south of the fishing town of Scoglitti. The river passes near the towns of Comiso and Vittoria. The ruins of the ancient Greek city of Kamarina, which used the river as a Canal-port, can be found on the southern bank.",Place,Stream,River
"Saint Juventinus or Juventius (died 363) was a member of the imperial guard of Emperor Julian. Before starting his campaign against the Sassanid Empire, Julian issued an edict that prohibited the veneration of the relics in Antioch. Juventius and his colleague Maximinus (also reported as Maximos or Maximus) protested against this edict, even when brought in front of their Emperor. Julian had them stripped of their properties and beheaded, according to Roman Martyrology. Saint John Chrysostom wrote their eulogy. Both saints have 25 January as feast day.",Agent,Cleric,Saint
"Hustler Magazine, Inc. v. Falwell, 485 U.S. 46 (1988), was a United States Supreme Court case in which the Court held that the First and Fourteenth Amendments prohibit public figures from recovering damages for the tort of intentional infliction of emotional distress (IIED), if the emotional distress was caused by a caricature, parody, or satire of the public figure that a reasonable person would not have interpreted as factual. In an 8â€“0 decision, the Court ruled in favor of Hustler magazine, holding that a parody ad published in the magazine depicting televangelist and political commentator Jerry Falwell as an incestuous drunk, was protected speech since Falwell was a public figure and the parody could not have been reasonably considered believable. Therefore, the Court held that the emotional distress inflicted on Falwell by the ad was not a sufficient reason to deny the First Amendment protection to speech that is critical of public officials and public figures.",UnitOfWork,LegalCase,SupremeCourtOfTheUnitedStatesCase
"Lester Michael \""Mike\"" Brumbelow (July 13, 1906 â€“ August 11, 1977) was an American football and basketball player and coach. He played football and basketball for Texas Christian University from 1927 to 1929 and was the captain and most valuable player of the TCU Horned Frogs undefeated 1929 football team that won the school's first Southwest Conference championship. He later served as an assistant football coach and head basketball coach at TCU from 1936 to 1941. He served in the U.S. Navy during World War II and attained the rank of lieutenant commander. After the war, he served as an assistant football coach at the University of Mississippi from 1946 to 1948. From 1950 to 1956 he was he head football coach at Texas Western College, now the University of Texas at El Paso; he also served as the school's athletic director from 1950 to 1959.",Agent,Coach,CollegeCoach
